NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.064 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.068 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.060 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.064 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.072 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.064 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.060 | 0.068 | 0.948
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.064 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.060 | 0.072 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.076 | 0.936
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.076 | 0.948
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.060 | 0.064 | 0.952
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.072 | 0.928
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.072 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.948
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.064 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.072 | 0.936
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.068 | 0.948
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.064 | 0.936
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.060 | 0.068 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.076 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.072 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.068 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.064 | 0.936
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.056 | 0.072 | 0.944
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.048 | 0.068 | 0.940
NaN/undefinedundefined/undefinedundefined NaN:NaNundefined:undefinedundefined | GPS Error | 0.052 | 0.072 | 0.936
